127.0.0.1 - - [02/May/2018:11:36:20 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:40 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:40 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:43 -0300] "GET /Vendas/faces/pages/funcionarioPesquisa.xhtml HTTP/1.1" 200 18033
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:43 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:43 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:45 -0300] "GET /Vendas/faces/pages/vendaCadastro.xhtml HTTP/1.1" 200 22847
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:45 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:46 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:46 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces-sam/images/ui-icons_222222_256x240.png HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:49 -0300] "POST /Vendas/faces/pages/vendaCadastro.xhtml HTTP/1.1" 200 5448
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:51 -0300] "POST /Vendas/faces/pages/vendaCadastro.xhtml HTTP/1.1" 200 6317
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:52 -0300] "POST /Vendas/faces/pages/vendaCadastro.xhtml HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:53 -0300] "POST /Vendas/faces/pages/vendaCadastro.xhtml HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:53 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces-sam/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:55 -0300] "POST /Vendas/faces/pages/vendaCadastro.xhtml HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [02/May/2018:13:16:27 -0300] "GET /Vendas/faces/pages/vendaCadastro.xhtml HTTP/1.1" 500 -
